industry,code
CI005007.WI,002830.SZ
CI005007.WI,002856.SZ
CI005007.WI,002883.SZ
CI005007.WI,002887.SZ
CI005007.WI,300044.SZ
CI005007.WI,300117.SZ
CI005007.WI,300197.SZ
CI005007.WI,300284.SZ
CI005007.WI,300300.SZ
CI005007.WI,300355.SZ
CI005007.WI,300483.SZ
CI005007.WI,300495.SZ
CI005007.WI,300500.SZ
CI005007.WI,300506.SZ
CI005007.WI,300517.SZ
CI005007.WI,300536.SZ
CI005007.WI,300592.SZ
CI005007.WI,300621.SZ
CI005007.WI,300649.SZ
CI005007.WI,300668.SZ
CI005007.WI,300712.SZ
CI005007.WI,600039.SH
CI005007.WI,600068.SH
CI005007.WI,600083.SH
CI005007.WI,600170.SH
CI005007.WI,600209.SH
CI005007.WI,600248.SH
CI005007.WI,600263.SH
CI005007.WI,600284.SH
CI005007.WI,600326.SH
CI005007.WI,600477.SH
CI005007.WI,600491.SH
CI005007.WI,600496.SH
CI005007.WI,600502.SH
CI005007.WI,600512.SH
CI005007.WI,600528.SH
CI005007.WI,600545.SH
CI005007.WI,600590.SH
CI005007.WI,600610.SH
CI005007.WI,600820.SH
CI005007.WI,600846.SH
CI005007.WI,600853.SH
CI005007.WI,600939.SH
CI005007.WI,600970.SH
CI005007.WI,600986.SH
CI005007.WI,601117.SH
CI005007.WI,601186.SH
CI005007.WI,601226.SH
CI005007.WI,601390.SH
CI005007.WI,601611.SH
CI005007.WI,601618.SH
CI005007.WI,601668.SH
CI005007.WI,601669.SH
CI005007.WI,601789.SH
CI005007.WI,601800.SH
CI005007.WI,601886.SH
CI005007.WI,603007.SH
CI005007.WI,603017.SH
CI005007.WI,603018.SH
CI005007.WI,603030.SH
CI005007.WI,603081.SH
CI005007.WI,603098.SH
CI005007.WI,603300.SH
CI005007.WI,603316.SH
CI005007.WI,603359.SH
CI005007.WI,603388.SH
CI005007.WI,603458.SH
CI005007.WI,603466.SH
CI005007.WI,603637.SH
CI005007.WI,603717.SH
CI005007.WI,603828.SH
CI005007.WI,603843.SH
CI005007.WI,603860.SH
CI005007.WI,603887.SH
CI005007.WI,603909.SH
CI005007.WI,603929.SH
CI005007.WI,603959.SH
CI005008.WI,000012.SZ
CI005008.WI,000023.SZ
CI005008.WI,000055.SZ
CI005008.WI,000401.SZ
CI005008.WI,000509.SZ
CI005008.WI,000511.SZ
CI005008.WI,000546.SZ
CI005008.WI,000619.SZ
CI005008.WI,000672.SZ
CI005008.WI,000786.SZ
CI005008.WI,000789.SZ
CI005008.WI,000795.SZ
CI005008.WI,000877.SZ
CI005008.WI,000885.SZ
CI005008.WI,000935.SZ
CI005008.WI,002043.SZ
CI005008.WI,002066.SZ
CI005008.WI,002080.SZ
CI005008.WI,002088.SZ
CI005008.WI,002102.SZ
CI005008.WI,002162.SZ
CI005008.WI,002163.SZ
CI005008.WI,002192.SZ
CI005008.WI,002201.SZ
CI005008.WI,002205.SZ
CI005008.WI,002225.SZ
CI005008.WI,002233.SZ
CI005008.WI,002271.SZ
CI005008.WI,002302.SZ
CI005008.WI,002333.SZ
CI005008.WI,002346.SZ
CI005008.WI,002372.SZ
CI005008.WI,002392.SZ
CI005008.WI,002457.SZ
CI005008.WI,002596.SZ
CI005008.WI,002613.SZ
CI005008.WI,002619.SZ
CI005008.WI,002623.SZ
CI005008.WI,002641.SZ
CI005008.WI,002671.SZ
CI005008.WI,002718.SZ
CI005008.WI,002742.SZ
CI005008.WI,002785.SZ
CI005008.WI,002798.SZ
CI005008.WI,002918.SZ
CI005008.WI,300021.SZ
CI005008.WI,300064.SZ
CI005008.WI,300093.SZ
CI005008.WI,300160.SZ
CI005008.WI,300163.SZ
CI005008.WI,300179.SZ
CI005008.WI,300196.SZ
CI005008.WI,300198.SZ
CI005008.WI,300234.SZ
CI005008.WI,300344.SZ
CI005008.WI,300345.SZ
CI005008.WI,300374.SZ
CI005008.WI,300409.SZ
CI005008.WI,300706.SZ
CI005008.WI,300715.SZ
CI005008.WI,300737.SZ
CI005008.WI,600172.SH
CI005008.WI,600176.SH
CI005008.WI,600293.SH
CI005008.WI,600318.SH
CI005008.WI,600321.SH
CI005008.WI,600425.SH
CI005008.WI,600449.SH
CI005008.WI,600516.SH
CI005008.WI,600539.SH
CI005008.WI,600552.SH
CI005008.WI,600553.SH
CI005008.WI,600585.SH
CI005008.WI,600586.SH
CI005008.WI,600629.SH
CI005008.WI,600678.SH
CI005008.WI,600720.SH
CI005008.WI,600753.SH
CI005008.WI,600783.SH
CI005008.WI,600801.SH
CI005008.WI,600802.SH
CI005008.WI,600819.SH
CI005008.WI,600876.SH
CI005008.WI,600881.SH
CI005008.WI,600883.SH
CI005008.WI,601636.SH
CI005008.WI,603038.SH
CI005008.WI,603268.SH
CI005008.WI,603385.SH
CI005008.WI,603505.SH
CI005008.WI,603616.SH
CI005008.WI,603725.SH
CI005008.WI,603826.SH
CI005008.WI,603838.SH
CI005009.WI,000488.SZ
CI005009.WI,000576.SZ
CI005009.WI,000659.SZ
CI005009.WI,000815.SZ
CI005009.WI,000833.SZ
CI005009.WI,000910.SZ
CI005009.WI,002012.SZ
CI005009.WI,002014.SZ
CI005009.WI,002067.SZ
CI005009.WI,002078.SZ
CI005009.WI,002084.SZ
CI005009.WI,002103.SZ
CI005009.WI,002117.SZ
CI005009.WI,002191.SZ
CI005009.WI,002228.SZ
CI005009.WI,002229.SZ
CI005009.WI,002235.SZ
CI005009.WI,002243.SZ
CI005009.WI,002301.SZ
CI005009.WI,002303.SZ
CI005009.WI,002348.SZ
CI005009.WI,002374.SZ
CI005009.WI,002489.SZ
CI005009.WI,002511.SZ
CI005009.WI,002521.SZ
CI005009.WI,002565.SZ
CI005009.WI,002571.SZ
CI005009.WI,002572.SZ
CI005009.WI,002575.SZ
CI005009.WI,002605.SZ
CI005009.WI,002678.SZ
CI005009.WI,002701.SZ
CI005009.WI,002735.SZ
CI005009.WI,002751.SZ
CI005009.WI,002752.SZ
CI005009.WI,002799.SZ
CI005009.WI,002803.SZ
CI005009.WI,002812.SZ
CI005009.WI,002825.SZ
